MongoDB shell version: 3.2.19
connecting to: 35.165.232.18:38018/myPat-v2Cms-Staging
quesId,QuesStatus,testId,testName,testStatus
Q-20740,PUBLISHED,T-1547,BITSAT-CT-PHY-Transformer and Choke Coil,PUBLISHED
Q-33256,PUBLISHED,T-748,OLTS-JEEM-PHY-4_Electrostatic field & potential en,PUBLISHED
Q-33466,PUBLISHED,T-719,OLTS-JEEM-MATH-1_To check continuity of a function,PUBLISHED
Q-38659,DRAFT,,,
Q-38660,DRAFT,,,
Q-38661,DRAFT,,,
Q-38662,DRAFT,,,
Q-38665,DRAFT,T-3314,Free Test-BITSAT-XI,DRAFT
Q-38668,DRAFT,T-3314,Free Test-BITSAT-XI,DRAFT
Q-38671,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38676,DRAFT,T-3315,Free Test-BITSAT-XII,DRAFT
Q-38686,DRAFT,T-3314,Free Test-BITSAT-XI,DRAFT
Q-38687,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38689,DRAFT,T-3316,Free Test-BITSAT-XII+,DRAFT
Q-38691,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38694,DRAFT,T-3314,Free Test-BITSAT-XI,DRAFT
Q-38696,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38699,DRAFT,T-3314,Free Test-BITSAT-XI,DRAFT
Q-38700,DRAFT,T-3314,Free Test-BITSAT-XI,DRAFT
Q-38702,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38705,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38706,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38708,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38709,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38710,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38711,DRAFT,T-3314,Free Test-BITSAT-XI,DRAFT
Q-38712,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38714,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38716,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38717,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38718,DRAFT,T-3316,Free Test-BITSAT-XII+,DRAFT
Q-38720,DRAFT,T-3314,Free Test-BITSAT-XI,DRAFT
Q-38721,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38723,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38724,DRAFT,T-3314,Free Test-BITSAT-XI,DRAFT
Q-38726,DRAFT,T-3321,Free Test-JEEA-IX,DRAFT
Q-38728,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38733,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38734,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38735,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38738,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38739,DRAFT,T-3324,Free Test-JEEM-XII,DRAFT
Q-38743,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38744,DRAFT,T-3327,Free Test-KVPY-XI,DRAFT
Q-38745,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38747,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38748,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38750,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38755,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38756,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38760,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38761,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38763,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38764,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38765,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38766,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38767,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38768,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38769,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38770,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38772,DRAFT,T-3324,Free Test-JEEM-XII,DRAFT
Q-38774,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38775,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38776,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38777,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38778,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38779,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38780,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38781,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38782,DRAFT,T-3326,Free Test-JEEM-IX,DRAFT
Q-38784,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38785,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38787,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38788,DRAFT,T-3325,Free Test-JEEM-XII+,DRAFT
Q-38796,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38801,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38805,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38806,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38810,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38811,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38813,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38815,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38816,DRAFT,T-3322,Free Test-JEEM-X,DRAFT
Q-38821,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38825,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38829,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38832,DRAFT,T-3328,Free Test-NTSE-IX,DRAFT
Q-38833,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38835,DRAFT,T-3323,Free Test-JEEM-XI,DRAFT
Q-38836,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38839,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38841,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38845,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38846,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38848,DRAFT,T-3319,Free Test-JEEA-XII,DRAFT
Q-38850,DRAFT,T-3319,Free Test-JEEA-XII,DRAFT
Q-38854,DRAFT,T-3316,Free Test-BITSAT-XII+,DRAFT
Q-38855,DRAFT,T-3316,Free Test-BITSAT-XII+,DRAFT
Q-38856,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38857,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38860,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38861,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38866,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38870,DRAFT,T-3319,Free Test-JEEA-XII,DRAFT
Q-38872,DRAFT,T-3319,Free Test-JEEA-XII,DRAFT
Q-38886,DRAFT,T-3329,Free Test-NTSE-X,DRAFT
Q-38902,DRAFT,,,
Q-38905,PUBLISHED,T-3320,Free Test-JEEA-XII+,DRAFT
Q-38910,DRAFT,,,
Q-38965,DRAFT,,,
Q-39158,DRAFT,,,
Q-39159,DRAFT,,,
Q-39160,DRAFT,,,
Q-39454,DRAFT,,,
Q-39458,DRAFT,,,
Q-39456,DRAFT,,,
Q-39479,DRAFT,,,
Q-39481,DRAFT,,,
Q-39489,DRAFT,,,
