MongoDB shell version: 3.2.19
connecting to: 35.165.232.18:38018/myPat-v2Cms-Staging
quesId,QuesStatus,testId,testName,testStatus
Q-80,PUBLISHED,T-367,Full Test -1 For Class XI,PUBLISHED
Q-3163,PUBLISHED,T-432,Full Test -8,PUBLISHED
Q-3203,PUBLISHED,T-432,Full Test -8,PUBLISHED
Q-3378,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3381,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3415,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3434,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3450,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3398,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3472,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3418,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3432,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3436,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3380,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3397,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3416,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3396,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3399,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3382,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3433,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3379,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3417,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3570,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3414,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3453,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3435,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3471,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3454,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3469,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3591,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3452,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3470,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3468,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3400,PUBLISHED,T-403,Combined Test -2 (PT4 + PT5) (Class XII Syllabus) Paper 1,PUBLISHED
Q-3451,PUBLISHED,T-357,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3547,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3630,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3572,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3594,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3612,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3569,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3549,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3571,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3607,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3545,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3546,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3548,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3595,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3635,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3610,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3627,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3606,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3592,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3615,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3593,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3568,PUBLISHED,T-365,Part Test -2 (PT2) (Class XI Syllabus)-Paper 2,PUBLISHED
Q-3608,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3611,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3631,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3609,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3629,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3632,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3626,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3634,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3614,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3648,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3628,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3650,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3651,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3649,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
